Rang,Joueur,Poste,Période,Sélections
1,Hugo Lloris,Gardien,2008-2022,145
2,Lilian Thuram,Défenseur,1994-2008,142
3,Olivier Giroud,Attaquant,2011-2024,137
3,Antoine Griezmann,Attaquant,2014-2024,137
5,Thierry Henry,Attaquant,1997-2010,123
6,Marcel Desailly,Défenseur,1993-2004,116
7,Zinédine Zidane,Milieu,1994-2006,108
8,Patrick Vieira,Milieu,1997-2009,107
9,Didier Deschamps,Milieu,1989-2000,103
10,Laurent Blanc,Défenseur,1989-2000,97
10,Bixente Lizarazu,Défenseur,1992-2004,97
10,Karim Benzema,Attaquant,2007-2022,97